"","name","iso_a3","currency_code","local_price","dollar_ex","GDP_dollar","date"
"1","Argentina","ARG","ARS",2.5,1,NA,"2000-04-01"
"2","Australia","AUS","AUD",2.59,1.68,NA,"2000-04-01"
"3","Brazil","BRA","BRL",2.95,1.79,NA,"2000-04-01"
"4","Britain","GBR","GBP",1.9,0.632911392,NA,"2000-04-01"
"5","Canada","CAN","CAD",2.85,1.47,NA,"2000-04-01"
"6","Chile","CHL","CLP",1260,514,NA,"2000-04-01"
"7","China","CHN","CNY",9.9,8.28,NA,"2000-04-01"
"8","Czech Republic","CZE","CZK",54.37,39.1,NA,"2000-04-01"
"9","Denmark","DNK","DKK",24.75,8.04,NA,"2000-04-01"
"10","Euro area","EUZ","EUR",2.56,1.075268817,NA,"2000-04-01"
"11","Hong Kong","HKG","HKD",10.2,7.79,NA,"2000-04-01"
"12","Hungary","HUN","HUF",339,279,NA,"2000-04-01"
"13","Indonesia","IDN","IDR",14500,7945,NA,"2000-04-01"
"14","Israel","ISR","ILS",14.5,4.05,NA,"2000-04-01"
"15","Japan","JPN","JPY",294,106,NA,"2000-04-01"
"16","Malaysia","MYS","MYR",4.52,3.8,NA,"2000-04-01"
"17","Mexico","MEX","MXN",20.9,9.41,NA,"2000-04-01"
"18","New Zealand","NZL","NZD",3.4,2.01,NA,"2000-04-01"
"19","Poland","POL","PLN",5.5,4.3,NA,"2000-04-01"
"20","Russia","RUS","RUB",39.5,28.5,NA,"2000-04-01"
"21","Singapore","SGP","SGD",3.2,1.7,NA,"2000-04-01"
"22","South Africa","ZAF","ZAR",9,6.72,NA,"2000-04-01"
"23","South Korea","KOR","KRW",3000,1108,NA,"2000-04-01"
"24","Sweden","SWE","SEK",24,8.84,NA,"2000-04-01"
"25","Switzerland","CHE","CHF",5.9,1.7,NA,"2000-04-01"
"26","Taiwan","TWN","TWD",70,30.6,NA,"2000-04-01"
"27","Thailand","THA","THB",55,38,NA,"2000-04-01"
"28","United States","USA","USD",2.51,1,NA,"2000-04-01"
"29","Argentina","ARG","ARS",2.5,1,NA,"2001-04-01"
"30","Australia","AUS","AUD",3,1.98,NA,"2001-04-01"
"31","Brazil","BRA","BRL",3.6,2.19,NA,"2001-04-01"
"32","Britain","GBR","GBP",1.99,0.699300699,NA,"2001-04-01"
"33","Canada","CAN","CAD",3.33,1.56,NA,"2001-04-01"
"34","Chile","CHL","CLP",1260,601,NA,"2001-04-01"
"35","China","CHN","CNY",9.9,8.28,NA,"2001-04-01"
"36","Czech Republic","CZE","CZK",56,39,NA,"2001-04-01"
"37","Denmark","DNK","DKK",24.75,8.46,NA,"2001-04-01"
"38","Euro area","EUZ","EUR",2.57,1.136363636,NA,"2001-04-01"
"39","Hong Kong","HKG","HKD",10.7,7.8,NA,"2001-04-01"
"40","Hungary","HUN","HUF",399,303,NA,"2001-04-01"
"41","Indonesia","IDN","IDR",14700,10855,NA,"2001-04-01"
