artist_name,artist_uri,album_uri,album_name,album_img,album_type,is_collaboration,album_release_date,album_release_year,album_popularity,track_name,track_uri,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,track_preview_url,track_open_spotify_url
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,One Vision,524aiNxulE2JkXl7CDvmLE,1,1,0.466,0.737,D,-14.192,major,0.164,0.0193,0.000117,0.474,0.378,119.965,310960,4,D major,40,NA,https://open.spotify.com/track/524aiNxulE2JkXl7CDvmLE
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,A Kind Of Magic,63vh1SGG67jGyNPV0SOohf,2,1,0.682,0.526,A,-14.014,major,0.0402,0.00367,0.00281,0.168,0.661,130.131,264600,4,A major,47,NA,https://open.spotify.com/track/63vh1SGG67jGyNPV0SOohf
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,One Year Of Love,7dCr2oqXe6Dzw5DInjKIsI,3,1,0.515,0.266,B,-14.466,minor,0.0318,0.167,0.000263,0.363,0.0988,110.973,266907,3,B minor,25,NA,https://open.spotify.com/track/7dCr2oqXe6Dzw5DInjKIsI
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,Pain Is So Close To Pleasure,46gNdrnDoX38cR7zepqO5y,4,1,0.768,0.434,A,-13.409,minor,0.0278,0.0217,0.00017,0.0938,0.63,112.16,261733,4,A minor,20,NA,https://open.spotify.com/track/46gNdrnDoX38cR7zepqO5y
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,Friends Will Be Friends,6lmAgXIkyml1j61Vewpndd,5,1,0.247,0.386,G,-13.94,major,0.0351,0.00794,3.23E-05,0.339,0.297,149.995,247400,4,G major,45,NA,https://open.spotify.com/track/6lmAgXIkyml1j61Vewpndd
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,Who Wants To Live Forever,3mCifcD3qeXqsasXySYt0s,6,1,0.171,0.2,E,-18.065,minor,0.0372,0.303,0.00679,0.0995,0.0381,140.415,315560,4,E minor,26,NA,https://open.spotify.com/track/3mCifcD3qeXqsasXySYt0s
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,Gimme The Prize,6WjY4oKPVQ9lZaq3aJ0H5v,7,1,0.32,0.827,C#,-12.768,minor,0.16,0.0228,0.368,0.341,0.119,85.249,274267,4,C# minor,17,NA,https://open.spotify.com/track/6WjY4oKPVQ9lZaq3aJ0H5v
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,Don't Lose Your Head,5FW3zbc9HACf6fUVjmEwSw,8,1,0.518,0.693,F,-14.348,major,0.0843,0.000312,0.117,0.127,0.338,120.055,278227,4,F major,15,NA,https://open.spotify.com/track/5FW3zbc9HACf6fUVjmEwSw
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,Princes Of The Universe,0FRXByhSyLdz59q79vBdSh,9,1,0.394,0.607,G,-14.294,major,0.0647,0.0386,0,0.574,0.418,81.283,212227,4,G major,43,NA,https://open.spotify.com/track/0FRXByhSyLdz59q79vBdSh
Queen,1dfeR4HaWDbWqFHLkxsg1d,2CtjlCopig2ciZHEBIoZ4r,A Kind Of Magic,https://i.scdn.co/image/82f438701a2a63c610e01956d245af3c888c9fc0,album,FALSE,02/06/1986,02/06/1986,46,A Kind Of 'A Kind Of Magic',1EwejfHiGMXDILwPH8WRLZ,10,1,0.787,0.432,A,-14.686,major,0.0418,0.00148,0.226,0.0746,0.934,130.156,216627,4,A major,19,NA,https://open.spotify.com/track/1EwejfHiGMXDILwPH8WRLZ
